% Moku:BodeAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 100 mVpp
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 20 mVpp
% Logarithmic sweep, calibration off
% Averaging time 2.000 ms, 4 cycles; Settling time 2.000 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:47:01 +0900
% Frequency (Hz), Magnitude 1 (dB), Phase 1 (deg), Magnitude 2 (dB), Phase 2 (deg), Math (Ch 1 / Ch 2) magnitude (dB), Math (Ch 1 / Ch 2) phase (deg)
6.593887e+03, -8.626879e+00, -1.518964e+02, 1.518320e+01, -1.773012e+02, -2.381008e+01, 2.540477e+01
6.390186e+03, -8.245837e+00, -1.488949e+02, 1.519722e+01, -1.766569e+02, -2.344306e+01, 2.776202e+01
6.192779e+03, -7.418799e+00, -1.460143e+02, 1.528692e+01, -1.757991e+02, -2.270572e+01, 2.978480e+01
6.001469e+03, -7.066081e+00, -1.432378e+02, 1.531640e+01, -1.750798e+02, -2.238248e+01, 3.184198e+01
5.816070e+03, -6.573073e+00, -1.418405e+02, 1.537863e+01, -1.745513e+02, -2.195170e+01, 3.271083e+01
5.636398e+03, -6.448455e+00, -1.400599e+02, 1.537456e+01, -1.741556e+02, -2.182302e+01, 3.409575e+01
5.462277e+03, -5.816581e+00, -1.412552e+02, 1.548891e+01, -1.738591e+02, -2.130549e+01, 3.260388e+01
5.293534e+03, -5.522470e+00, -1.388586e+02, 1.551336e+01, -1.730453e+02, -2.103583e+01, 3.418669e+01
5.130005e+03, -4.783095e+00, -1.391233e+02, 1.564865e+01, -1.724639e+02, -2.043174e+01, 3.334060e+01
4.971527e+03, -4.154896e+00, -1.350334e+02, 1.569983e+01, -1.710586e+02, -1.985473e+01, 3.602522e+01
4.817945e+03, -4.158271e+00, -1.322774e+02, 1.562525e+01, -1.704649e+02, -1.978352e+01, 3.818749e+01
4.669107e+03, -3.790455e+00, -1.340048e+02, 1.574953e+01, -1.703995e+02, -1.953998e+01, 3.639469e+01
4.524868e+03, -3.142860e+00, -1.326444e+02, 1.586040e+01, -1.695340e+02, -1.900326e+01, 3.688964e+01
4.385084e+03, -2.909371e+00, -1.338849e+02, 1.596120e+01, -1.695521e+02, -1.887057e+01, 3.566721e+01
4.249619e+03, -2.890790e+00, -1.365560e+02, 1.602939e+01, -1.700836e+02, -1.892018e+01, 3.352754e+01
4.118338e+03, 6.037729e-01, -1.363392e+02, 1.701684e+01, -1.661379e+02, -1.641307e+01, 2.979873e+01
3.991113e+03, 6.854337e-01, -1.269826e+02, 1.676428e+01, -1.630477e+02, -1.607885e+01, 3.606507e+01
3.867818e+03, 1.160850e+00, -1.180201e+02, 1.657358e+01, -1.594023e+02, -1.541273e+01, 4.138220e+01
3.748332e+03, 1.139900e+00, -1.135430e+02, 1.635138e+01, -1.579880e+02, -1.521148e+01, 4.444500e+01
3.632538e+03, 1.344730e+00, -1.105291e+02, 1.625423e+01, -1.566375e+02, -1.490950e+01, 4.610836e+01
3.520320e+03, 1.483040e+00, -1.075513e+02, 1.615940e+01, -1.553874e+02, -1.467636e+01, 4.783615e+01
3.411569e+03, 1.689915e+00, -1.051470e+02, 1.609417e+01, -1.541615e+02, -1.440426e+01, 4.901459e+01
3.306178e+03, 1.950926e+00, -1.029769e+02, 1.605806e+01, -1.528977e+02, -1.410713e+01, 4.992078e+01
3.204043e+03, 2.243008e+00, -1.001927e+02, 1.599277e+01, -1.512328e+02, -1.374976e+01, 5.104015e+01
3.105062e+03, 2.498079e+00, -9.773173e+01, 1.592636e+01, -1.496501e+02, -1.342828e+01, 5.191836e+01
3.009140e+03, 2.658340e+00, -9.495617e+01, 1.580190e+01, -1.482831e+02, -1.314356e+01, 5.332691e+01
2.916180e+03, 2.897633e+00, -9.293735e+01, 1.574972e+01, -1.469364e+02, -1.285209e+01, 5.399904e+01
2.826093e+03, 3.137095e+00, -9.053355e+01, 1.566266e+01, -1.454667e+02, -1.252556e+01, 5.493319e+01
2.738788e+03, 3.563619e+00, -9.006701e+01, 1.579083e+01, -1.439226e+02, -1.222722e+01, 5.385561e+01
2.654181e+03, 3.986911e+00, -8.397220e+01, 1.549082e+01, -1.402250e+02, -1.150391e+01, 5.625280e+01
2.572187e+03, 3.961674e+00, -8.412686e+01, 1.550388e+01, -1.404274e+02, -1.154220e+01, 5.630058e+01
2.492726e+03, 4.222465e+00, -7.835167e+01, 1.509633e+01, -1.372211e+02, -1.087386e+01, 5.886945e+01
2.415720e+03, 4.149974e+00, -7.947978e+01, 1.516012e+01, -1.378507e+02, -1.101014e+01, 5.837088e+01
2.341093e+03, 4.335632e+00, -7.635052e+01, 1.494398e+01, -1.359029e+02, -1.060835e+01, 5.955242e+01
2.268771e+03, 4.593386e+00, -7.435926e+01, 1.486278e+01, -1.340588e+02, -1.026939e+01, 5.969959e+01
2.198683e+03, 4.820077e+00, -7.210518e+01, 1.472732e+01, -1.322440e+02, -9.907246e+00, 6.013881e+01
2.130761e+03, 5.035276e+00, -6.802692e+01, 1.435673e+01, -1.295038e+02, -9.321455e+00, 6.147691e+01
2.064937e+03, 4.841932e+00, -6.540080e+01, 1.397516e+01, -1.294132e+02, -9.133226e+00, 6.401240e+01
2.001146e+03, 4.942356e+00, -6.410887e+01, 1.386867e+01, -1.283652e+02, -8.926312e+00, 6.425635e+01
1.939326e+03, 4.932849e+00, -6.276507e+01, 1.370447e+01, -1.278186e+02, -8.771617e+00, 6.505356e+01
1.879416e+03, 5.006429e+00, -6.225050e+01, 1.366729e+01, -1.270612e+02, -8.660861e+00, 6.481066e+01
1.821356e+03, 5.283989e+00, -6.154151e+01, 1.369540e+01, -1.253547e+02, -8.411416e+00, 6.381316e+01
1.765090e+03, 5.647327e+00, -6.043239e+01, 1.372253e+01, -1.227888e+02, -8.075207e+00, 6.235641e+01
1.710563e+03, 6.203711e+00, -5.933714e+01, 1.383862e+01, -1.192676e+02, -7.634904e+00, 5.993048e+01
1.657719e+03, 7.282924e+00, -5.330195e+01, 1.368667e+01, -1.089136e+02, -6.403742e+00, 5.561168e+01
1.606509e+03, 5.762311e+00, -3.671580e+01, 9.736335e+00, -1.117455e+02, -3.974025e+00, 7.502966e+01
1.556880e+03, 6.244583e+00, -5.083368e+01, 1.272689e+01, -1.145785e+02, -6.482306e+00, 6.374482e+01
1.508784e+03, 5.567379e+00, -4.795441e+01, 1.186679e+01, -1.180287e+02, -6.299413e+00, 7.007433e+01
