% Moku:BodeAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 1 MOhm, amplitude 200 mVpp
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 1 MOhm, amplitude 100 mVpp
% Logarithmic sweep, calibration off
% Averaging time 2.000 ms, 4 cycles; Settling time 2.000 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2019-02-04 T 16:23:02 +0900
% Frequency (Hz), Magnitude 1 (dB), Phase 1 (deg), Magnitude 2 (dB), Phase 2 (deg), Math (Ch 1 / Ch 2) magnitude (dB), Math (Ch 1 / Ch 2) phase (deg)
1.840543e+02, -6.732790e-01, -2.052811e+01, -9.246018e+00, -1.113386e+02, 8.572739e+00, 9.081048e+01
1.801230e+02, -7.238403e-01, -2.089232e+01, -9.097715e+00, -1.118914e+02, 8.373874e+00, 9.099913e+01
1.762756e+02, -6.994632e-01, -2.049139e+01, -9.216238e+00, -1.116381e+02, 8.516775e+00, 9.114667e+01
1.725104e+02, -6.709741e-01, -1.999761e+01, -9.470523e+00, -1.110637e+02, 8.799549e+00, 9.106609e+01
1.688256e+02, -6.233197e-01, -1.974074e+01, -9.585916e+00, -1.104986e+02, 8.962597e+00, 9.075788e+01
1.652195e+02, -5.717740e-01, -1.965877e+01, -9.563050e+00, -1.092830e+02, 8.991276e+00, 8.962425e+01
1.616905e+02, -5.980526e-01, -1.888205e+01, -9.944630e+00, -1.097448e+02, 9.346577e+00, 9.086271e+01
1.582368e+02, -5.366556e-01, -1.858953e+01, -1.000473e+01, -1.088277e+02, 9.468074e+00, 9.023819e+01
1.548569e+02, -5.012506e-01, -1.925514e+01, -9.697727e+00, -1.081535e+02, 9.196476e+00, 8.889838e+01
1.515492e+02, -6.131027e-01, -1.817357e+01, -1.024355e+01, -1.103313e+02, 9.630452e+00, 9.215777e+01
1.483121e+02, -5.359102e-01, -1.558341e+01, -1.144508e+01, -1.091903e+02, 1.090917e+01, 9.360692e+01
1.451442e+02, -4.969192e-01, -1.780929e+01, -1.036154e+01, -1.081801e+02, 9.864625e+00, 9.037085e+01
1.420440e+02, -4.757181e-01, -1.606887e+01, -1.120420e+01, -1.075616e+02, 1.072848e+01, 9.149269e+01
1.390099e+02, -4.193927e-01, -1.660692e+01, -1.089180e+01, -1.064398e+02, 1.047241e+01, 8.983288e+01
1.360407e+02, -3.845990e-01, -1.761584e+01, -1.036931e+01, -1.056118e+02, 9.984708e+00, 8.799596e+01
1.331349e+02, -5.042520e-01, -1.565722e+01, -1.138881e+01, -1.083845e+02, 1.088456e+01, 9.272731e+01
1.302912e+02, -4.550477e-01, -1.369551e+01, -1.254165e+01, -1.076881e+02, 1.208661e+01, 9.399263e+01
1.275082e+02, -3.894967e-01, -1.503307e+01, -1.164413e+01, -1.057160e+02, 1.125464e+01, 9.068290e+01
1.247847e+02, -3.912548e-01, -1.498767e+01, -1.167729e+01, -1.056668e+02, 1.128603e+01, 9.067915e+01
1.221193e+02, -3.980583e-01, -1.436212e+01, -1.216087e+01, -1.059885e+02, 1.176281e+01, 9.162638e+01
1.195108e+02, -3.865973e-01, -1.314250e+01, -1.292503e+01, -1.064524e+02, 1.253844e+01, 9.330993e+01
1.169581e+02, -3.140724e-01, -1.517172e+01, -1.171749e+01, -1.041168e+02, 1.140342e+01, 8.894504e+01
1.144599e+02, -4.076363e-01, -1.503315e+01, -1.177376e+01, -1.064600e+02, 1.136613e+01, 9.142680e+01
1.120151e+02, -3.942812e-01, -1.166336e+01, -1.392749e+01, -1.072167e+02, 1.353321e+01, 9.555331e+01
1.096225e+02, -3.730070e-01, -1.142550e+01, -1.403179e+01, -1.066481e+02, 1.365878e+01, 9.522264e+01
1.072809e+02, -2.041522e-01, -1.155783e+01, -1.402014e+01, -1.018201e+02, 1.381599e+01, 9.026223e+01
1.049894e+02, -2.548120e-01, -1.234128e+01, -1.336954e+01, -1.034719e+02, 1.311473e+01, 9.113058e+01
1.027469e+02, -1.863243e-01, -1.375637e+01, -1.251089e+01, -1.015909e+02, 1.232456e+01, 8.783452e+01
1.005522e+02, -1.461215e-01, -1.333391e+01, -1.266009e+01, -1.002717e+02, 1.251397e+01, 8.693782e+01
9.840447e+01, -2.174928e-01, -1.358861e+01, -1.249029e+01, -1.018932e+02, 1.227280e+01, 8.830462e+01
9.630257e+01, -1.546966e-01, -1.326948e+01, -1.269302e+01, -1.007029e+02, 1.253832e+01, 8.743338e+01
9.424557e+01, -2.907618e-01, -1.235772e+01, -1.347263e+01, -1.045573e+02, 1.318187e+01, 9.219956e+01
9.223251e+01, -2.188565e-01, -1.035163e+01, -1.489562e+01, -1.029815e+02, 1.467677e+01, 9.262991e+01
9.026244e+01, -2.618181e-01, -1.101511e+01, -1.442491e+01, -1.040977e+02, 1.416309e+01, 9.308264e+01
8.833446e+01, -1.819842e-01, -9.535471e+00, -1.562885e+01, -1.015743e+02, 1.544687e+01, 9.203880e+01
8.644765e+01, -1.748487e-01, -1.164477e+01, -1.399024e+01, -1.010034e+02, 1.381539e+01, 8.935863e+01
8.460115e+01, -3.103296e-01, -9.405316e+00, -1.578003e+01, -1.058374e+02, 1.546970e+01, 9.643211e+01
8.279409e+01, -2.025772e-01, -8.130894e+00, -1.718115e+01, -1.012824e+02, 1.697857e+01, 9.315148e+01
