% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 1.00 kHz, RBW 1.569 Hz (Minimum mode), Hanning window, Video filter off, 32 averages
% Internal 10 MHz clock
% Acquired 2019-02-04 T 15:40:08 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
2.678318e+02, 8.050488e-06, 3.643839e-06
2.688573e+02, 8.086336e-06, 3.377479e-06
2.698828e+02, 9.338918e-06, 3.142888e-06
2.709082e+02, 7.797456e-06, 3.132578e-06
2.719337e+02, 7.926173e-06, 3.474050e-06
2.729591e+02, 8.820066e-06, 3.261130e-06
2.739846e+02, 1.087451e-05, 3.587243e-06
2.750100e+02, 9.724651e-06, 3.798901e-06
2.760355e+02, 8.827823e-06, 3.661513e-06
2.770610e+02, 9.820035e-06, 3.586822e-06
2.780864e+02, 1.013910e-05, 3.514236e-06
2.791119e+02, 9.706412e-06, 3.361910e-06
2.801373e+02, 1.079632e-05, 3.462479e-06
2.811628e+02, 1.179209e-05, 3.532961e-06
2.821882e+02, 1.526159e-05, 3.152356e-06
2.832137e+02, 1.855939e-05, 3.387788e-06
2.842391e+02, 2.267876e-05, 3.496983e-06
2.852646e+02, 2.439527e-05, 3.345709e-06
2.862901e+02, 2.515835e-05, 3.046737e-06
2.873155e+02, 3.437547e-05, 3.215685e-06
2.883410e+02, 1.028174e-04, 3.584508e-06
2.893664e+02, 9.749870e-05, 3.493196e-06
2.903919e+02, 3.283401e-05, 3.356860e-06
2.914173e+02, 1.954951e-05, 3.515919e-06
2.924428e+02, 1.766340e-05, 3.677924e-06
2.934683e+02, 1.813131e-05, 3.662775e-06
2.944937e+02, 1.908013e-05, 3.248717e-06
2.955192e+02, 2.312676e-05, 3.586401e-06
2.965446e+02, 2.384896e-05, 4.036648e-06
2.975701e+02, 2.949491e-05, 3.409038e-06
2.985955e+02, 2.437955e-05, 2.954794e-06
2.996210e+02, 1.924742e-05, 2.957319e-06
3.006464e+02, 1.617016e-05, 3.297318e-06
3.016719e+02, 1.508528e-05, 3.748196e-06
3.026974e+02, 1.633724e-05, 3.384843e-06
3.037228e+02, 1.624584e-05, 3.312467e-06
3.047483e+02, 1.753007e-05, 3.027591e-06
3.057737e+02, 1.602027e-05, 2.971415e-06
3.067992e+02, 2.231693e-05, 2.729881e-06
3.078246e+02, 3.869882e-05, 2.757022e-06
3.088501e+02, 3.844579e-05, 2.937963e-06
3.098756e+02, 3.848708e-05, 2.959633e-06
3.109010e+02, 4.592396e-05, 3.024856e-06
3.119265e+02, 4.451939e-05, 2.818668e-06
3.129519e+02, 4.668222e-05, 3.140363e-06
3.139774e+02, 5.813743e-05, 3.242615e-06
3.150028e+02, 6.719816e-05, 3.086712e-06
3.160283e+02, 6.279787e-05, 2.985722e-06
3.170537e+02, 7.233091e-05, 3.076613e-06
3.180792e+02, 6.570659e-05, 3.318147e-06
3.191047e+02, 5.231245e-05, 3.011601e-06
3.201301e+02, 4.775011e-05, 2.628681e-06
3.211556e+02, 3.839065e-05, 3.067566e-06
3.221810e+02, 3.855249e-05, 3.715374e-06
3.232065e+02, 3.897785e-05, 3.631637e-06
3.242319e+02, 2.626649e-05, 3.608072e-06
3.252574e+02, 2.368020e-05, 3.158457e-06
3.262829e+02, 2.831612e-05, 2.876317e-06
3.273083e+02, 2.856454e-05, 3.226204e-06
3.283338e+02, 2.278211e-05, 3.371167e-06
3.293592e+02, 2.341144e-05, 3.043581e-06
