% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 3.00 kHz, RBW 4.632 Hz (Minimum mode), Hanning window, Video filter off, 16 averages
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:53:32 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
1.004876e+03, 2.920685e-06, 2.361676e-06
1.007903e+03, 3.164651e-06, 2.255248e-06
1.010931e+03, 3.976278e-06, 2.442497e-06
1.013958e+03, 3.364502e-06, 1.911693e-06
1.016986e+03, 3.665606e-06, 2.358208e-06
1.020013e+03, 3.888577e-06, 2.294459e-06
1.023041e+03, 2.553673e-06, 2.213904e-06
1.026068e+03, 3.068181e-06, 2.118413e-06
1.029096e+03, 3.835426e-06, 1.929031e-06
1.032123e+03, 5.146146e-06, 2.426226e-06
1.035151e+03, 5.715401e-06, 2.309129e-06
1.038179e+03, 4.281102e-06, 2.105610e-06
1.041206e+03, 3.834894e-06, 2.165892e-06
1.044234e+03, 4.661669e-06, 2.191499e-06
1.047261e+03, 3.817620e-06, 2.281922e-06
1.050289e+03, 3.275207e-06, 1.887954e-06
1.053316e+03, 2.672998e-06, 1.493452e-06
1.056344e+03, 2.575731e-06, 1.886620e-06
1.059371e+03, 2.930784e-06, 2.036525e-06
1.062399e+03, 3.249428e-06, 2.075735e-06
1.065426e+03, 2.880024e-06, 2.237911e-06
1.068454e+03, 3.565947e-06, 2.205636e-06
1.071481e+03, 4.766112e-06, 2.427026e-06
1.074509e+03, 4.438963e-06, 2.344071e-06
1.077537e+03, 3.292747e-06, 1.822604e-06
1.080564e+03, 3.542560e-06, 1.686035e-06
1.083592e+03, 3.672516e-06, 1.496653e-06
1.086619e+03, 4.004979e-06, 2.146954e-06
1.089647e+03, 3.830908e-06, 1.749785e-06
1.092674e+03, 2.538524e-06, 1.854078e-06
1.095702e+03, 3.947576e-06, 1.747384e-06
1.098729e+03, 3.492863e-06, 1.689503e-06
1.101757e+03, 3.840741e-06, 1.510790e-06
1.104784e+03, 3.801674e-06, 2.204302e-06
1.107812e+03, 3.013435e-06, 2.704964e-06
